INFO DATE TIME CLASS LINE DATASET ALGORITHM REPRESENTATION WORDSIZE ALPHA SCORE
[series][INFO] [2020-10-12 16:36:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 13 9 0.45
[series][INFO] [2020-10-12 16:36:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 13 10 0.49
[series][INFO] [2020-10-12 16:36:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 13 11 0.49
[series][INFO] [2020-10-12 16:36:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 13 12 0.46
[series][INFO] [2020-10-12 16:36:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 13 13 0.49
[series][INFO] [2020-10-12 16:36:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 13 14 0.44
[series][INFO] [2020-10-12 16:36:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 13 15 0.48
[series][INFO] [2020-10-12 16:36:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 13 16 0.42
[series][INFO] [2020-10-12 16:36:43] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 14 3 0.46
[series][INFO] [2020-10-12 16:36:43] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 14 4 0.46
[series][INFO] [2020-10-12 16:36:43] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 14 5 0.44
[series][INFO] [2020-10-12 16:36:43] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 14 6 0.47
[series][INFO] [2020-10-12 16:36:43] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 14 7 0.49
[series][INFO] [2020-10-12 16:36:43] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 14 8 0.51
[series][INFO] [2020-10-12 16:36:43] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 14 9 0.48
[series][INFO] [2020-10-12 16:36:43] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 14 10 0.49
[series][INFO] [2020-10-12 16:36:43] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 14 11 0.47
[series][INFO] [2020-10-12 16:36:43] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 14 12 0.45
