INFO DATE TIME CLASS LINE DATASET ALGORITHM REPRESENTATION WORDSIZE ALPHA SCORE
[series][INFO] [2020-10-12 16:36:44] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 16 11 0.64
[series][INFO] [2020-10-12 16:36:44] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 16 12 0.62
[series][INFO] [2020-10-12 16:36:44] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 16 13 0.61
[series][INFO] [2020-10-12 16:36:44] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 16 14 0.59
[series][INFO] [2020-10-12 16:36:44] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 16 15 0.61
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 16 16 0.57
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 17 3 0.69
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 17 4 0.67
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 17 5 0.67
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 17 6 0.64
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 17 7 0.63
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 17 8 0.65
[series][INFO] [2020-10-12 16:36:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 17 9 0.64
[series][INFO] [2020-10-12 16:36:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 17 10 0.61
[series][INFO] [2020-10-12 16:36:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 17 11 0.62
[series][INFO] [2020-10-12 16:36:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 17 12 0.62
[series][INFO] [2020-10-12 16:36:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 17 13 0.63
[series][INFO] [2020-10-12 16:36:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 17 14 0.58
[series][INFO] [2020-10-12 16:36:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 17 15 0.63
[series][INFO] [2020-10-12 16:36:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 17 16 0.56
[series][INFO] [2020-10-12 16:36:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 18 3 0.66
[series][INFO] [2020-10-12 16:36:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 18 4 0.65
[series][INFO] [2020-10-12 16:36:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 18 5 0.67
